Año;Mes;Temperatura Máxima;Temperatura Mínima;Temperatura promedio;Enos 
2007;Enero;26.4;4.4;14.1;1
2007;Febrero;25.4;-4.6;13.5;3
2007;Marzo;24.0;5.1;14.2;3
2007;Abril;23.0;6.6;14.8;3
2007;Mayo;21.9;5.9;13.3;3
2007;Junio;19.8;5.9;12.7;3
2007;Julio;23.6;4.3;13.3;2
2007;Agosto;23.3;3.0;13.0;2
2007;Septiembre;24.3;1.7;13.6;2
2007;Octubre;25.7;4.2;13.3;2
2007;Noviembre;25.7;-0.1;12.9;2
2008;Diciembre;23.8;2.1;12.0;2
2008;Enero;23.8;-1.5;12.2;2
2008;Febrero;23.5;-1.1;11.4;2
2008;Marzo;24.5;3.8;13.4;2
2008;Abril;24.2;2.2;13.4;2
2008;Mayo;22.7;4.5;13.7;2
2008;Junio;22.5;5.7;13.7;2
2008;Julio;21.0;6.1;13.5;3
2008;Agosto;21.6;5.0;13.7;3
2008;Septiembre;22.6;6.0;14.0;3
2008;Octubre;22.7;4.3;14.1;3
2008;Noviembre;22.8;7.0;14.3;2
2009;Diciembre;22.9;4.3;14.0;2
2009;Enero;23.5;4.0;14.1;2
2009;Febrero;23.8;5.1;14.2;2
2009;Marzo;23.7;7.3;14.3;2
2009;Abril;24.4;5.7;14.7;3
2009;Mayo;22.8;5.4;14.6;3
2009;Junio;23.3;6.4;14.4;3
2009;Julio;21.4;6.4;13.9;1
2009;Agosto;23.4;7.1;14.5;1
2009;Septiembre;22.9;4.0;14.6;1
2009;Octubre;24.1;3.7;14.3;1
2009;Noviembre;24.6;5.3;14.7;1
2010;Diciembre;24.9;2.8;14.6;1
2010;Enero;25.0;0.4;14.7;1
2010;Febrero;26.2;6.0;15.6;1
2010;Marzo;25.2;5.3;15.9;1
2010;Abril;24.2;7.4;15.1;3
2010;Mayo;23.9;9.1;15.2;3
2010;Junio;22.3;7.3;14.6;2
2010;Julio;24.1;6.6;14.4;2
2010;Agosto;24.0;8.1;14.4;2
2010;Septiembre;23.5;6.6;14.3;2
2010;Octubre;25.8;6.3;14.5;2
2010;Noviembre;24.2;6.7;14.3;2
2011;Diciembre;24.5;5.0;13.7;2
2011;Enero;24.9;4.3;13.8;2
2011;Febrero;24.2;5.5;14.1;2
2011;Marzo;22.3;6.0;14.0;2
2011;Abril;24.4;8.4;14.3;2
2011;Mayo;22.8;7.7;14.8;2
2011;Junio;24.1;6.0;14.6;3
2011;Julio;22.4;5.6;13.9;2
2011;Agosto;24.2;5.3;14.2;2
2011;Septiembre;23.8;4.2;14.0;2
2011;Octubre;23.4;5.3;13.8;2
2011;Noviembre;23.6;4.6;14.0;2
2012;Diciembre;24.0;6.5;14.3;2
2012;Enero;24.3;4.2;14.3;2
2012;Febrero;24.2;4.2;14.0;2
2012;Marzo;23.9;6.7;14.1;2
2012;Abril;23.2;7.2;14.0;3
2012;Mayo;23.2;6.5;14.4;3
2012;Junio;23.2;4.9;14.2;3
2012;Julio;21.3;6.6;13.7;3
2012;Agosto;22.4;7.3;13.7;3
2012;Septiembre;26.3;4.6;14.0;3
2012;Octubre;26.4;5.2;14.4;3
2012;Noviembre;24.7;2.9;14.4;3
2013;Diciembre;24.8;3.6;14.0;3
2013;Enero;25.1;2.5;14.5;3
2013;Febrero;24.3;5.4;14.4;3
2013;Marzo;25.5;4.1;14.8;3
2013;Abril;25.8;5.2;14.9;3
2013;Mayo;24.8;6.7;14.6;3
2013;Junio;23.3;6.5;14.5;3
2013;Julio;23.3;5.4;13.6;3
2013;Agosto;24.3;6.7;13.9;3
2013;Septiembre;23.7;4.0;14.3;3
2013;Octubre;24.3;4.3;14.0;3
2013;Noviembre;24.6;5.3;14.0;3
2014;Diciembre;24.4;4.7;14.0;3
2014;Enero;24.7;3.3;14.3;3
2014;Febrero;24.3;5.3;14.5;3
2014;Marzo;25.6;5.2;14.7;3
2014;Abril;24.2;6.2;14.7;3
2014;Mayo;24.4;4.6;14.8;3
2014;Junio;22.3;6.1;14.2;3
2014;Julio;23.0;6.5;14.0;3
2014;Agosto;22.6;3.3;13.7;3
2014;Septiembre;24.7;5.2;14.1;3
2014;Octubre;23.8;5.9;14.3;3
2014;Noviembre;24.6;6.0;14.4;1
2015;Diciembre;24.4;4.0;14.0;1
2015;Enero;24.6;1.9;14.0;1
2015;Febrero;26.5;4.7;14.6;1
2015;Marzo;25.3;6.4;14.8;1
2015;Abril;23.0;7.3;14.9;1
2015;Mayo;26.9;5.9;15.1;1
2015;Junio;22.6;6.0;14.1;1
2015;Julio;22.3;6.9;14.3;1
2015;Agosto;22.0;5.5;14.5;1
2015;Septiembre;24.1;3.3;14.6;1
2015;Octubre;25.4;5.3;14.9;1
2015;Noviembre;25.3;7.2;15.0;1
2016;Diciembre;24.9;3.6;14.5;1
2016;Enero;27.3;3.1;15.4;1
2016;Febrero;27.5;4.8;15.9;1
2016;Marzo;28.2;5.7;16.2;1
2016;Abril;26.4;8.6;15.4;1
2016;Mayo;24.7;8.0;15.1;1
2016;Junio;24.4;6.8;14.4;3
2016;Julio;22.6;7.4;14.3;3
2016;Agosto;23.4;5.2;14.3;2
2016;Septiembre;24.1;5.4;14.4;2
2016;Octubre;25.4;5.0;14.8;2
2016;Noviembre;26.0;6.5;14.5;2
2017;Diciembre;25.0;4.0;14.3;2
2017;Enero;24.4;2.2;14.1;3
2017;Febrero;26.0;3.5;14.4;3
2017;Marzo;24.8;4.9;14.3;3
2017;Abril;25.5;4.1;14.9;3
